Time,RPM,MPH,Throttle,Load,Fuel Status
16:17:53.567306,875,0.0,8.62745098039,22.3529411765,0200
16:17:53.784722,875,0.0,8.62745098039,22.3529411765,0200
16:17:54.2516,875,0.0,8.62745098039,22.3529411765,0200
16:17:54.223708,887,0.0,8.62745098039,22.3529411765,0200
16:17:54.447691,875,0.0,8.62745098039,22.3529411765,0200
16:17:54.665114,875,0.0,8.62745098039,22.3529411765,0200
16:17:54.884065,887,0.0,8.62745098039,22.3529411765,0200
16:17:55.96626,887,0.0,8.62745098039,22.3529411765,0200
16:17:55.317859,887,0.0,8.62745098039,22.3529411765,0200
16:17:55.534332,887,0.0,8.62745098039,22.3529411765,0200
16:17:55.758155,875,0.0,8.62745098039,22.3529411765,0200
16:17:55.973195,875,0.0,8.62745098039,22.3529411765,0200
16:17:56.190743,875,0.0,8.62745098039,22.3529411765,0200
16:17:56.405863,887,0.0,8.62745098039,22.3529411765,0200
16:17:56.632168,875,0.0,8.62745098039,22.3529411765,0200
16:17:56.848536,887,0.0,8.62745098039,22.3529411765,0200
16:17:57.66128,875,0.0,8.62745098039,22.3529411765,0200
16:17:57.281186,887,0.0,8.62745098039,22.3529411765,0200
16:17:57.500077,887,0.0,8.62745098039,22.3529411765,0200
16:17:57.717530,875,0.0,8.62745098039,22.3529411765,0200
16:17:57.943939,875,0.0,8.62745098039,22.3529411765,0200
16:17:58.156529,875,0.0,8.62745098039,22.3529411765,0200
16:17:58.379246,875,0.0,8.62745098039,22.3529411765,0200
16:17:58.601708,887,0.0,8.62745098039,22.3529411765,0200
16:17:58.843035,875,0.0,8.62745098039,22.3529411765,0200
16:17:59.65609,875,0.0,8.62745098039,22.3529411765,0200
16:17:59.287034,887,0.0,8.62745098039,22.3529411765,0200
16:17:59.510895,887,0.0,8.62745098039,22.3529411765,0200
16:17:59.733346,887,0.0,8.62745098039,22.3529411765,0200
16:17:59.957202,900,0.0,8.62745098039,22.3529411765,0200
16:18:0.176038,887,0.0,8.62745098039,22.3529411765,0200
16:18:0.396095,887,0.0,8.62745098039,22.3529411765,0200
16:18:0.607426,875,0.0,8.62745098039,22.3529411765,0200
16:18:0.826611,875,0.0,8.62745098039,22.3529411765,0200
16:18:1.46491,887,0.0,8.62745098039,22.3529411765,0200
16:18:1.285075,875,0.0,8.62745098039,22.3529411765,0200
16:18:1.503996,862,0.0,8.62745098039,22.3529411765,0200
16:18:1.722824,875,0.0,8.62745098039,22.3529411765,0200
16:18:1.939120,862,0.0,8.62745098039,22.3529411765,0200
